Ticket ID,员工编号,部门,岗位等级,费用类型,金额,城市,城市等级,费用日期,出差开始日期,出差结束日期,商户,发票号码,票据状态,审批状态,预算编码,用途说明
EXP-202606-0105,E3001,产品部,L2,交通,259.21,成都,二线,2026-06-21,2026-06-20,2026-06-22,机场快线,INV-2026060105,完整,无需额外审批,UNKNOWN-001,成都出差交通
EXP-202606-0106,E2001,交付部,L2,住宿,300.97,武汉,二线,2026-06-08,2026-06-06,2026-06-09,汇景酒店,INV-2026060001,完整,无需额外审批,DELIVERY-TRAVEL,武汉客户项目出差住宿
EXP-202606-0107,E1002,销售部,L3,办公采购,424.13,合肥,三线,2026-06-12,2026-06-11,2026-06-12,江南餐厅,INV-2026060107,完整,无需额外审批,SALES-TRAVEL,客户项目阶段性沟通晚餐
EXP-202606-0108,E2002,交付部,L3,客户招待,480.5,北京,三线,2026-06-04,2026-06-03,2026-06-05,和悦会馆,INV-2026060108,完整,无需额外审批,DELIVERY-TRAVEL,合肥客户沟通工作餐
EXP-202606-0109,E2002,交付部,L3,客户招待,741.28,成都,二线,2026-06-07,2026-06-07,2026-06-08,江南餐厅,,缺失,无需额外审批,DELIVERY-TRAVEL,成都客户沟通工作餐
EXP-202606-0110,E3002,产品部,L4,住宿,980,武汉,二线,2026-06-16,2026-06-15,2026-06-16,聚合餐饮,INV-2026060110,完整,无需额外审批,PROD-RND,武汉客户项目出差住宿
EXP-202606-0111,E4002,运营部,L3,办公采购,759.08,南昌,三线,2026-06-10,2026-06-05,2026-06-06,晨光办公,INV-2026060111,完整,无需额外审批,OPS-GENERAL,项目办公用品采购
EXP-202606-0112,E4002,运营部,L3,客户招待,1680,武汉,二线,2026-06-13,2026-06-13,2026-06-14,聚合餐饮,INV-2026060112,完整,未提交,OPS-GENERAL,客户项目阶段性沟通工作餐
EXP-202606-0113,E1001,销售部,L2,交通,112.31,广州,一线,2026-06-23,2026-06-20,2026-06-23,高铁票务,INV-2026060113,完整,无需额外审批,UNKNOWN-001,广州出差交通
EXP-202606-0114,E2002,交付部,L3,客户招待,385.79,北京,一线,2026-06-23,2026-06-23,2026-06-26,和悦会馆,INV-2026060001,完整,无需额外审批,DELIVERY-TRAVEL,北京客户沟通工作餐
EXP-202606-0115,E4001,运营部,L1,办公采购,358.14,上海,一线,2026-06-15,2026-06-15,2026-06-16,江南餐厅,INV-2026060115,完整,无需额外审批,OPS-GENERAL,客户项目阶段性沟通晚餐
EXP-202606-0116,E2002,交付部,L3,客户招待,472.84,北京,三线,2026-06-19,2026-06-18,2026-06-20,聚合餐饮,INV-2026060116,完整,无需额外审批,DELIVERY-TRAVEL,成都客户沟通工作餐
EXP-202606-0117,E2001,交付部,L2,住宿,448.36,北京,一线,2026-06-10,2026-06-10,2026-06-11,汇景酒店,,缺失,无需额外审批,DELIVERY-TRAVEL,北京客户项目出差住宿
EXP-202606-0118,E2002,交付部,L3,住宿,680,合肥,三线,2026-06-13,2026-06-12,2026-06-15,城际酒店,INV-2026060118,完整,无需额外审批,DELIVERY-TRAVEL,合肥客户项目出差住宿
EXP-202606-0119,E3002,产品部,L4,住宿,591.97,成都,二线,2026-06-28,2026-06-21,2026-06-24,汇景酒店,INV-2026060119,完整,无需额外审批,PROD-RND,成都客户项目出差住宿
EXP-202606-0120,E2002,交付部,L3,客户招待,1680,广州,一线,2026-06-15,2026-06-13,2026-06-15,城际酒店,INV-2026060120,完整,未提交,DELIVERY-TRAVEL,客户项目阶段性沟通工作餐
EXP-202606-0121,E2001,交付部,L2,客户招待,412.26,北京,一线,2026-06-22,2026-06-22,2026-06-24,和悦会馆,INV-2026060121,完整,无需额外审批,UNKNOWN-001,北京客户沟通工作餐
EXP-202606-0122,E3001,产品部,L2,交通,176.95,南昌,三线,2026-06-22,2026-06-21,2026-06-22,机场快线,INV-2026060001,完整,无需额外审批,PROD-RND,南昌出差交通
EXP-202606-0123,E2001,交付部,L2,办公采购,106.64,广州,一线,2026-06-08,2026-06-08,2026-06-10,江南餐厅,INV-2026060123,完整,无需额外审批,DELIVERY-TRAVEL,客户项目阶段性沟通晚餐
EXP-202606-0124,E3001,产品部,L2,办公采购,1076.95,北京,三线,2026-06-01,2026-06-01,2026-06-02,数码供应站,INV-2026060124,完整,无需额外审批,PROD-RND,项目办公用品采购
EXP-202606-0125,E3001,产品部,L2,交通,49.18,广州,一线,2026-06-14,2026-06-12,2026-06-15,城市出行,,缺失,无需额外审批,PROD-RND,广州出差交通
EXP-202606-0126,E1002,销售部,L3,住宿,880,广州,一线,2026-06-17,2026-06-16,2026-06-17,城市出行,INV-2026060126,完整,无需额外审批,SALES-TRAVEL,广州客户项目出差住宿
EXP-202606-0127,E2002,交付部,L3,交通,264.13,武汉,二线,2026-06-15,2026-06-08,2026-06-11,机场快线,INV-2026060127,完整,无需额外审批,DELIVERY-TRAVEL,武汉出差交通
EXP-202606-0128,E2001,交付部,L2,客户招待,1680,北京,一线,2026-06-17,2026-06-16,2026-06-19,云栖酒店,INV-2026060128,完整,未提交,DELIVERY-TRAVEL,客户项目阶段性沟通工作餐
EXP-202606-0129,E3001,产品部,L2,办公采购,883.32,合肥,三线,2026-06-17,2026-06-17,2026-06-18,企业采购中心,INV-2026060129,完整,无需额外审批,UNKNOWN-001,项目办公用品采购
EXP-202606-0130,E2001,交付部,L2,客户招待,829.96,杭州,二线,2026-06-08,2026-06-07,2026-06-09,和悦会馆,INV-2026060001,完整,无需额外审批,DELIVERY-TRAVEL,杭州客户沟通工作餐
EXP-202606-0131,E1002,销售部,L3,办公采购,510.1,武汉,二线,2026-06-04,2026-06-01,2026-06-04,江南餐厅,INV-2026060131,完整,无需额外审批,SALES-TRAVEL,客户项目阶段性沟通晚餐
EXP-202606-0132,E1002,销售部,L3,住宿,458.39,北京,三线,2026-06-13,2026-06-13,2026-06-14,城际酒店,INV-2026060132,完整,无需额外审批,SALES-TRAVEL,广州客户项目出差住宿
EXP-202606-0133,E1001,销售部,L2,客户招待,501.31,北京,一线,2026-06-04,2026-06-04,2026-06-07,聚合餐饮,,缺失,无需额外审批,SALES-TRAVEL,北京客户沟通工作餐
EXP-202606-0134,E3001,产品部,L2,住宿,580,杭州,二线,2026-06-08,2026-06-06,2026-06-08,城市出行,INV-2026060134,完整,无需额外审批,PROD-RND,杭州客户项目出差住宿
EXP-202606-0135,E3002,产品部,L4,办公采购,406.87,杭州,二线,2026-06-23,2026-06-17,2026-06-19,企业采购中心,INV-2026060135,完整,无需额外审批,PROD-RND,项目办公用品采购
